date,value
2018-08-01,1695665
2018-09-01,1288947
2018-10-01,1564881
2018-11-01,1932638
2018-12-01,2632151
2019-01-01,1961287
2019-02-01,1956542
2019-03-01,2359010
2019-04-01,1901670
2019-05-01,1835676
2019-06-01,2163312
2019-07-01,2197290
2019-08-01,1751687
2019-09-01,1283298
2019-10-01,1633909
2019-11-01,1998762
2019-12-01,2715240
2020-01-01,2042953
2020-02-01,2100066
2020-03-01,1188038
2020-04-01,84616
2020-05-01,144532
2020-06-01,308409
2020-07-01,529467
2020-08-01,532767
2020-09-01,593763
2020-10-01,822578
2020-11-01,985459
2020-12-01,1482246
2021-01-01,818005
2021-02-01,697166
2021-03-01,1176944
2021-04-01,1184964
2021-05-01,1510286
2021-06-01,1828183
2021-07-01,2012324
2021-08-01,1436404
2021-09-01,1251439
2021-10-01,1596801
2021-11-01,1892953
2021-12-01,2638852
2022-01-01,1656777
2022-02-01,1784364
2022-03-01,2327565
2022-04-01,2097010.0000000002
2022-05-01,2004786
2022-06-01,2286087
2022-07-01,2475099
2022-08-01,1912284
2022-09-01,1630674
2022-10-01,1977982
2022-11-01,2279973
2022-12-01,2992467
2023-01-01,2214967
2023-02-01,2104733
2023-03-01,2446017
2023-04-01,2023245
